[2018-02-09T13:53:41.639] [INFO] BlockPoc - register an api:/putChainMsg
[2018-02-09T13:53:41.666] [INFO] BlockPoc - register an api:/replyMsg
[2018-02-09T13:53:41.679] [INFO] BlockPoc - Server init success.Start running ...
[2018-02-09T13:53:41.690] [ERROR] BlockPoc - uncaught exception: ReferenceError: ServerConfig is not defined
    at runServer (/Users/apple/program/poc_2018_02/app.js:42:59)
    at /Users/apple/program/poc_2018_02/app.js:87:5
    at /Users/apple/program/poc_2018_02/app.js:23:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3874:9
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:473:16
    at replenish (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:993:25)
    at iterateeCallback (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:983:17)
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:958:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3871:13
    at /Users/apple/program/poc_2018_02/app.js:16:13
[2018-02-09T13:53:41.875] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.876] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.877] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.877] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.878] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.878] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.879] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.881] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.898] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.967] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.972] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.976] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.976] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.977] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.977] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.978] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.978] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.979] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.979] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.980] [INFO] BlockPoc - 退出前处理 0 undefined
